"p.adjust(sim_results_2023$p_value, method = ""BY"")",game_id,observed_stat,p_valuesim,mean.x,sd.x,miss_streakssim,make_streakssim,p_valueunadj,diff,miss_streaksunadj,make_streaksunadj,observed,p_adj,mean.y,sd.y,miss_streaks,make_streaks,p_valueperm
1,401507278,-0.23809523809523808,0.6518390921065964,-0.13433169655006813,0.28774546208520146,7,6,0.7837783890676726,-0.23809523809523808,7,6,-0.23809523809523808,1,-0.1242108622731114,0.28420888387906995,7,6,0.6828096858114869
1,401507282,-0.5714285714285714,0.9469412600182612,-0.10830133244373344,0.28055541754083724,3,7,NA,NA,NA,NA,-0.5714285714285714,1,-0.12715598349793208,0.2831682325237392,3,7,0.9299158990788948
1,401507292,0.2391304347826087,0.10005037783375316,-0.09668416950177332,0.2759024068434561,23,2,0.35801783405313703,0.2391304347826087,23,2,0.2391304347826087,1,-0.1343707296578622,0.27969570486481066,23,2,0.11359212183671132
1,401507298,-0.05555555555555558,0.5123078468803376,-0.07852694223837944,0.2674182150613835,9,10,0.5893414543163495,-0.05555555555555558,9,10,-0.05555555555555558,1,-0.10929908979558382,0.26259473667982464,9,10,0.46039207841568314
1,401507304,-0.0444444444444444,0.4438760156485104,-0.1015384018096442,0.2668069474744304,9,10,0.5723864029542861,-0.0444444444444444,9,10,-0.0444444444444444,1,-0.10366649372636058,0.25866834975720526,9,10,0.43880716501551087
1,401507310,0.32499999999999996,0.03183747725894481,-0.10992551326442812,0.2594988232332291,16,10,0.05772423125284732,0.32499999999999996,16,10,0.32499999999999996,1,-0.11460805392072113,0.26691235674432556,16,10,0.03544456751585943
1,401507311,-0.12698412698412703,0.5473068388137987,-0.11850785424852608,0.26690657464652434,9,7,0.678406748906332,-0.12698412698412703,9,7,-0.12698412698412703,1,-0.11573998276806656,0.2717266963870999,9,7,0.5523494639815649
1,401507317,-0.06666666666666671,0.5044728113378228,-0.08306092272051803,0.26167726010434883,20,3,0.5679411225340246,-0.06666666666666671,20,3,-0.06666666666666671,1,-0.12581140083736858,0.2759351558852795,20,3,0.45189687696499686
1,401507322,0.2077922077922078,0.10231289768710232,-0.14604757481079833,0.28147480085458515,7,11,0.21342749542713868,0.2077922077922078,7,11,0.2077922077922078,1,-0.1140128492109726,0.27282157323332357,7,11,0.10704281712685074
1,401507329,0.09999999999999998,0.24768704746580852,-0.10214982238925716,0.27021097047335657,10,10,0.33003957358996416,0.09999999999999998,10,10,0.09999999999999998,1,-0.11079005621538578,0.269327523939045,10,10,0.2347939175670268
