season,team_id,game_id,miss_streaks,make_streaks,fga,fgm
2022,19,401391844,5,12,65,37
2022,19,401391849,4,9,70,39
2022,19,401391854,9,7,65,30
2022,19,401391863,13,6,71,32
2022,19,401430112,16,5,79,32
2022,19,401455627,7,6,72,34
2022,19,401455651,10,9,78,40
2022,19,401455657,5,5,75,36
2022,19,401455661,14,1,68,24
2022,19,401455671,8,9,63,32
2022,19,401455675,14,1,70,26
2022,19,401455677,7,7,63,30
2022,19,401455679,12,1,70,24
2022,20,401391655,21,2,63,20
2022,20,401391661,17,1,69,24
2022,20,401391665,9,3,65,28
2022,20,401391671,6,6,57,28
2022,20,401391673,5,9,63,34
2022,20,401391681,11,5,66,27
2022,20,401391689,11,3,56,20
2022,20,401391698,10,3,70,34
2022,20,401391705,14,8,77,33
2022,20,401391709,16,2,75,26
2022,20,401391713,15,8,67,29
2022,20,401391719,12,2,69,25
2022,20,401391726,12,9,79,35
2022,20,401391735,14,8,76,35
2022,20,401391740,11,7,80,36
2022,20,401391746,6,3,64,29
2022,20,401391755,16,5,71,26
2022,20,401391759,19,2,63,21
2022,20,401391763,8,2,66,28
2022,20,401391768,17,3,75,27
2022,20,401391774,12,12,70,33
2022,20,401391781,13,5,62,26
2022,20,401391788,11,1,69,29
2022,20,401391797,10,3,62,26
2022,20,401391801,12,3,71,34
2022,20,401391804,7,7,64,33
2022,20,401391808,6,2,66,30
2022,20,401391816,18,2,84,29
2022,20,401391818,15,2,70,27
2022,20,401391825,13,1,61,23
2022,20,401391835,8,11,70,35
2022,20,401391840,6,3,62,29
2022,20,401391847,6,2,64,25
2022,20,401391850,6,9,66,33
2022,20,401391857,18,7,64,24
2022,20,401391861,17,2,74,27
2023,3,401507135,16,2,74,27
2023,3,401507144,11,11,74,37
2023,3,401507148,14,5,79,32
2023,3,401507152,7,2,75,33
2023,3,401507155,20,5,76,26
2023,3,401507161,11,5,65,24
2023,3,401507168,14,2,77,30
2023,3,401507171,13,2,82,32
2023,3,401507175,15,6,82,32
2023,3,401507184,13,0,69,25
2023,3,401507190,5,6,76,38
2023,3,401507196,11,4,66,27
2023,3,401507204,10,3,70,28
2023,3,401507209,14,6,72,31
2023,3,401507213,9,8,64,30
2023,3,401507225,13,8,74,33
2023,3,401507229,22,10,82,33
2023,3,401507234,7,7,68,32
2023,3,401507238,12,5,62,27
2023,3,401507246,5,6,79,41
2023,3,401507252,10,5,80,38
2023,3,401507260,6,11,76,41
2023,3,401507267,16,4,76,31
2023,3,401507273,0,10,63,37
2023,3,401507278,6,4,78,36
2023,3,401507284,15,1,77,28
2023,3,401507288,10,6,73,35
2023,3,401507294,10,4,70,32
2023,3,401507298,26,9,72,27
2023,3,401507306,10,7,64,30
2023,3,401507312,10,8,74,36
2023,3,401507318,14,14,69,34
2023,3,401507325,15,9,77,33
2023,3,401507330,13,7,66,30
